2024-11-16 23:14:55 : ===================== 2024-11-16T23:14:55.166510 =====================
2024-11-16 23:14:55 : ===================== FINE-TUNING ON PROMPT 1 =====================
2024-11-16 23:14:55 : Settings: Namespace(data='init/asap_5_splits.csv', bert_model_path='../../../ix/ix_models/Multi-Scale-BERT-AES-Models/p8_3', chunk_sizes='90_30_130_10', prompt=[1], batch_size=16, epochs=80, sample=-1, learning_rate=6e-05, result_file='results/finetune/p1.txt', save_model='../../../ix/ix_models/Multi-Scale-BERT-AES-Models/p1/p1.pt', device='cuda', log=PosixPath('logs/finetune-p1.log'), comment='Using google-bert/bert-base-uncased. Removed the direct path to their finetuned word and chunk models.')
2024-11-16 23:14:55 : Additional Comments: Using google-bert/bert-base-uncased. Removed the direct path to their finetuned word and chunk models.
2024-11-16 23:15:00 : Train/Eval/Test: 1076/349/358
2024-11-16 23:15:00 : Started training loop for p1.pt
2024-11-16 23:20:38 : 2/80 | 65/68: 0.08533
2024-11-16 23:20:40 : 2/80 | 66/68: 0.02914
2024-11-16 23:20:42 : 2/80 | 67/68: 0.08781
2024-11-16 23:21:26 : 2: Evaluation loss: 0.48664 | Pearson: 0.78500 | QWK:  0.74200
2024-11-16 23:21:26 : Saving model p1.pt on epoch 2 (0.48664 is the new best loss!)
2024-11-16 23:21:40 : 3/80 | 0/68: 0.14457
2024-11-16 23:21:42 : 3/80 | 1/68: 0.22728
2024-11-16 23:21:44 : 3/80 | 2/68: 0.17862
2024-11-16 23:21:47 : 3/80 | 3/68: 0.12628
2024-11-16 23:21:49 : 3/80 | 4/68: 0.08084
2024-11-16 23:21:51 : 3/80 | 5/68: 0.08430
2024-11-16 23:21:53 : 3/80 | 6/68: 0.12296
2024-11-16 23:21:55 : 3/80 | 7/68: 0.10185
2024-11-16 23:21:57 : 3/80 | 8/68: 0.08127
2024-11-16 23:21:59 : 3/80 | 9/68: 0.09612
2024-11-16 23:22:01 : 3/80 | 10/68: 0.03914
2024-11-16 23:22:03 : 3/80 | 11/68: 0.07711
2024-11-16 23:22:05 : 3/80 | 12/68: 0.07328
2024-11-16 23:22:07 : 3/80 | 13/68: 0.08768
2024-11-16 23:22:10 : 3/80 | 14/68: 0.06664
2024-11-16 23:22:12 : 3/80 | 15/68: 0.05817
2024-11-16 23:22:14 : 3/80 | 16/68: 0.03856
2024-11-16 23:22:16 : 3/80 | 17/68: 0.04936
2024-11-16 23:22:18 : 3/80 | 18/68: 0.04990
2024-11-16 23:22:20 : 3/80 | 19/68: 0.04035
2024-11-16 23:22:22 : 3/80 | 20/68: 0.04980
2024-11-16 23:22:24 : 3/80 | 21/68: 0.05248
2024-11-16 23:22:26 : 3/80 | 22/68: 0.05401
